package,source_component,cmake_status,recipe_status,gpvm_status,status_basis,notes
novasoft-data-quality,DataQuality,cetmodules_configured,present,built,user_reported_success,Includes exported DAQHeader and FlasherFinder targets
novasoft-detector-performance,DetectorPerformance,cetmodules_configured,present,built,user_reported_success,
novasoft-dso-result-plotter,DSOResultPlotter,cetmodules_configured,present,built,user_reported_success,
novasoft-ifdb-spill-info,IFDBSpillInfo,cetmodules_configured,present,built,user_reported_success,BUILDTESTBEAM remains off for standalone build
novasoft-me-finder,MEFinder,cetmodules_configured,present,built,user_reported_success,
novasoft-nd-rock-muon,NDRockMuon,cetmodules_configured,present,built,user_reported_success,
novasoft-shower-e,ShowerE,cetmodules_configured,present,built,user_reported_success,
novasoft-supernova,Supernova,cetmodules_configured,present,built,user_reported_success,Depends on novasoft-data-quality for FlasherFinder
novasoft-timing-fit,TimingFit,cetmodules_configured,present,built,user_reported_success,
novasoft-vertex-finder,VertexFinder,cetmodules_configured,present,built,user_reported_success,
novasoft-air-shower,AirShower,cetmodules_configured,present,built,user_reported_success,
novasoft-elastic-arms,ElasticArms,cetmodules_configured,present,built,user_reported_success,
novasoft-fuzzy-k-vertex,FuzzyKVertex,cetmodules_configured,present,built,user_reported_success,
novasoft-hough-track,HoughTrack,cetmodules_configured,present,built,user_reported_success,
novasoft-hough-vertex,HoughVertex,cetmodules_configured,present,built,user_reported_success,
novasoft-light-model,LightModel,cetmodules_configured,present,built,user_reported_success,
novasoft-michel-e-filter,MichelEFilter,cetmodules_configured,present,built,user_reported_success,
novasoft-nue-sandbox,NueSandbox,cetmodules_configured,present,built,user_reported_success,
novasoft-rec-var-pid,RecVarPID,cetmodules_configured,present,built,user_reported_success,
novasoft-slicer,Slicer,cetmodules_configured,present,built,user_reported_success,
novasoft-discrete-tracker,DiscreteTracker,cetmodules_configured,present,built,user_reported_success,
novasoft-genie-snova,GenieSNova,cetmodules_configured,present,built,user_reported_success,Explicit legacy executable links validated on GPVM
novasoft-lem,LEM,cetmodules_configured,present,built,user_reported_success,
novasoft-nova-sim-mixer,NovaSimMixer,cetmodules_configured,present,built,user_reported_success,
novasoft-nus-sandbox,NusSandbox,cetmodules_configured,present,built,user_reported_success,
novasoft-track-fit,TrackFit,cetmodules_configured,present,built,user_reported_success,
novasoft-vertex-dt,VertexDT,cetmodules_configured,present,built,user_reported_success,
novasoft-xnue-pid,XnuePID,cetmodules_configured,present,built,user_reported_success,
novasoft-alignment,Alignment,cetmodules_configured,present,built,user_reported_success,
novasoft-readout-sim,ReadoutSim,cetmodules_configured,present,built,user_reported_success,
novasoft-ddt-prescale-offline,DDTPrescaleOffline,cetmodules_configured,present,built,user_reported_success,
novasoft-demo,Demo,cetmodules_configured,present,built,user_reported_success,
novasoft-fast-monopole,FastMonopole,cetmodules_configured,present,built,user_reported_success,
novasoft-commissioning,Commissioning,cetmodules_configured,present,built,user_reported_success,
novasoft-test-beam-commissioning,TestBeamCommissioning,cetmodules_configured,present,built,user_reported_success,
novasoft-cvn,CVN,cetmodules_configured,present,built,user_reported_success,FANN-dependent art modules disabled for standalone build
novasoft-event-display-services,EventDisplayServices,cetmodules_configured,present,built,user_reported_success,Standalone build exposes the monorepo source root for EventDisplayServices-prefixed includes
novasoft-event-generator,EventGenerator,cetmodules_configured,present,built,user_reported_success,
novasoft-covariance-matrix-fit,CovarianceMatrixFit,cetmodules_configured,present,built,gpvm_build_passed,Built successfully after adding SUNDIALS::kinsol_shared compatibility target required by osclib
novasoft-break-point-fitter,BreakPointFitter,cetmodules_configured,present,built,user_reported_success,Reusable func and data-product targets validated; cyclic NumuEnergy and MuonRemove modules remain deferred
novasoft-calibration,Calibration,cetmodules_configured,present,built,user_reported_success,Standalone build passed after correcting cstxsd discovery and enabling NOVACMAKE
novasoft-event-display,EventDisplay,cetmodules_configured,present,built,user_reported_success,Installed exact pilot-environment hash stgbwtv
novasoft-flat-maker,FlatMaker,cetmodules_configured,present,built,user_reported_success,Generated-header build layout and imported executable aliases validated
novasoft-g4-rwgt,G4Rwgt,cetmodules_configured,present,built,user_reported_success,dk2nugenie dependency and corrected Utilities interface validated at exact hash p6ydaov
novasoft-mc-reweight,MCReweight,cetmodules_configured,present,built,user_reported_success,GENIE aggregate target fix added for direct MCReweight links and exported StandardRecordNOvARwgt
novasoft-mc-check-out,MCCheckOut,cetmodules_configured,present,built,user_reported_success,novarwgt and MCReweight package discovery validated
novasoft-reco-jm-shower,RecoJMShower,cetmodules_configured,present,built,user_reported_success,Corrected RecoBase installed include interface consumed successfully
novasoft-tensorflow-handler,TensorFlowHandler,cetmodules_configured,present,built,user_reported_success,TensorFlow and Triton protobuf implementations isolated and validated
novasoft-g4nova,g4nova,cetmodules_configured,present,built,user_reported_success,NUFINDER_DIR and GeometryObjects exported dependency interfaces validated
novasoft-ncid-func,NCID/func,cetmodules_configured,present,built,user_reported_success,Standalone function split validated with CAFAna analysis batch
novasoft-cafana,CAFAna,cetmodules_configured,present,built,user_reported_success,Validated after CAFAnaCore 01.42 and standalone finder fixes
novasoft-pisces,PISCES,cetmodules_configured,present,built,user_reported_success,Core-only standalone default validated after SUNDIALS and GSL fixes
novasoft-3-flavor-ana,3FlavorAna,cetmodules_configured,present,built,user_reported_success,Vars and Cuts standalone default validated after GSL and GENIE dependency fixes
novasoft-bnb-ana,BNBAna,cetmodules_configured,present,built,user_reported_success,Vars Cuts and Weights standalone package validated with combined analysis install
novasoft-hmatrix-e,HMatrixE,cetmodules_configured,present,built,user_reported_success,Standalone HMatrixE build validated after enabling NOVACMAKE for DAQ headers
novasoft-shower-lid,ShowerLID,cetmodules_configured,present,built,user_reported_success,Standalone default builds core ShowerLID and leaves TensorFlow/art extras disabled
novasoft-slice-lid,SliceLID,cetmodules_configured,present,built,user_reported_success,Standalone SliceLID build validated after enabling NOVACMAKE for DAQ headers
novasoft-qe-event-finder,QEEventFinder,cetmodules_configured,present,built,user_reported_success,standalone default builds the core PID library and defers NumuEnergy/ReMId art modules
novasoft-re-mid,ReMId,cetmodules_configured,present,built,user_reported_success,standalone default builds the core ReMId library and defers MuonRemove/NumuEnergy art modules
novasoft-muon-id,MuonID,cetmodules_configured,present,built,user_reported_success,standalone default builds the core MuonID library and defers TrackInfo-dependent art module
novasoft-nd-reco,NDReco,cetmodules_configured,present,built,user_reported_success,depends on ReMId plus already-built reconstruction packages
novasoft-lstme,LSTME,cetmodules_configured,present,built,user_reported_success,depends on SliceLID VarDict and RecoBase
novasoft-nd-ana,NDAna,cetmodules_configured,present,built,user_reported_success,builds Classifiers layer against CAFAna and StandardRecord
novasoft-xsec-reco,XSecReco,cetmodules_configured,present,built,user_reported_success,builds XSecReco art libraries against ReMId and existing shower/track dependencies
novasoft-cos-rej,CosRej,cetmodules_configured,present,built,user_reported_success,Standalone CosRej core/art package validated in combined Numu/Cosmic batch
novasoft-preselection,Preselection,cetmodules_configured,present,built,user_reported_success,Standalone Preselection package validated in combined Numu/Cosmic batch
novasoft-track-info,TrackInfo,cetmodules_configured,present,built,user_reported_success,Standalone TrackInfo package validated after BreakPointFitter package-name fix
novasoft-numu-sandbox,NumuSandbox,cetmodules_configured,present,built,user_reported_success,Standalone NumuSandbox package validated in combined Numu/Cosmic batch
novasoft-muon-remove,MuonRemove,cetmodules_configured,present,built,user_reported_success,Standalone MuonRemoveart package validated with geant and cyclic modules deferred
novasoft-numu-energy,NumuEnergy,cetmodules_configured,present,built,user_reported_success,Standalone NumuEnergy core package validated against MuonRemoveart and NumuEnergyFunc
novasoft-ncid,NCID,cetmodules_configured,present,built,user_reported_success,Standalone NCID package validated in combined Numu/Cosmic batch
novasoft-cosmic-studies,CosmicStudies,cetmodules_configured,present,not_tested,recipe_added,Next batch; Full standalone package; builds CosmicStudies library plus cosmic art modules
novasoft-neutron-mc-ana,NeutronMCAna,cetmodules_configured,present,not_tested,recipe_added,Next batch; Standalone art module package; depends on validated ReMId and NumuEnergy
novasoft-tridents,Tridents,cetmodules_configured,present,not_tested,recipe_added,Next batch; Standalone Tridents library and art modules; depends on BreakPointFitter and SummaryData
novasoft-low-e-nue,LowENue,cetmodules_configured,present,not_tested,recipe_added,Next batch; Standalone LowENue core classifier package; Training helpers deferred because 3FlavorAnaPlotting is not in the default standalone 3FlavorAna install
novasoft-nu-mag-moment-ana,NuMagMomentAna,cetmodules_configured,present,not_tested,recipe_added,"Next batch; Standalone CAFAna analysis package; explicitly carries CAFAna public header deps (novarwgt, nugen, GENIE plus Stan/TBB/Eigen)"
